county_fips,in.county,county_name,state_name,county_state_name
1001,G0100010,Autauga County,Alabama,"Autauga County, Alabama"
1003,G0100030,Baldwin County,Alabama,"Baldwin County, Alabama"
1005,G0100050,Barbour County,Alabama,"Barbour County, Alabama"
1007,G0100070,Bibb County,Alabama,"Bibb County, Alabama"
1009,G0100090,Blount County,Alabama,"Blount County, Alabama"
1011,G0100110,Bullock County,Alabama,"Bullock County, Alabama"
1013,G0100130,Butler County,Alabama,"Butler County, Alabama"
1015,G0100150,Calhoun County,Alabama,"Calhoun County, Alabama"
1017,G0100170,Chambers County,Alabama,"Chambers County, Alabama"
1019,G0100190,Cherokee County,Alabama,"Cherokee County, Alabama"
1021,G0100210,Chilton County,Alabama,"Chilton County, Alabama"
1023,G0100230,Choctaw County,Alabama,"Choctaw County, Alabama"
1025,G0100250,Clarke County,Alabama,"Clarke County, Alabama"
1027,G0100270,Clay County,Alabama,"Clay County, Alabama"
1029,G0100290,Cleburne County,Alabama,"Cleburne County, Alabama"
1031,G0100310,Coffee County,Alabama,"Coffee County, Alabama"
1033,G0100330,Colbert County,Alabama,"Colbert County, Alabama"
1035,G0100350,Conecuh County,Alabama,"Conecuh County, Alabama"
1037,G0100370,Coosa County,Alabama,"Coosa County, Alabama"
1039,G0100390,Covington County,Alabama,"Covington County, Alabama"
1041,G0100410,Crenshaw County,Alabama,"Crenshaw County, Alabama"
1043,G0100430,Cullman County,Alabama,"Cullman County, Alabama"
1045,G0100450,Dale County,Alabama,"Dale County, Alabama"
1047,G0100470,Dallas County,Alabama,"Dallas County, Alabama"
1049,G0100490,DeKalb County,Alabama,"DeKalb County, Alabama"
1051,G0100510,Elmore County,Alabama,"Elmore County, Alabama"
1053,G0100530,Escambia County,Alabama,"Escambia County, Alabama"
1055,G0100550,Etowah County,Alabama,"Etowah County, Alabama"
1057,G0100570,Fayette County,Alabama,"Fayette County, Alabama"
1059,G0100590,Franklin County,Alabama,"Franklin County, Alabama"
1061,G0100610,Geneva County,Alabama,"Geneva County, Alabama"
1063,G0100630,Greene County,Alabama,"Greene County, Alabama"
1065,G0100650,Hale County,Alabama,"Hale County, Alabama"
1067,G0100670,Henry County,Alabama,"Henry County, Alabama"
1069,G0100690,Houston County,Alabama,"Houston County, Alabama"
1071,G0100710,Jackson County,Alabama,"Jackson County, Alabama"
1073,G0100730,Jefferson County,Alabama,"Jefferson County, Alabama"
1075,G0100750,Lamar County,Alabama,"Lamar County, Alabama"
1077,G0100770,Lauderdale County,Alabama,"Lauderdale County, Alabama"
1079,G0100790,Lawrence County,Alabama,"Lawrence County, Alabama"
1081,G0100810,Lee County,Alabama,"Lee County, Alabama"
1083,G0100830,Limestone County,Alabama,"Limestone County, Alabama"
1085,G0100850,Lowndes County,Alabama,"Lowndes County, Alabama"
1087,G0100870,Macon County,Alabama,"Macon County, Alabama"
1089,G0100890,Madison County,Alabama,"Madison County, Alabama"
1091,G0100910,Marengo County,Alabama,"Marengo County, Alabama"
1093,G0100930,Marion County,Alabama,"Marion County, Alabama"
1095,G0100950,Marshall County,Alabama,"Marshall County, Alabama"
1097,G0100970,Mobile County,Alabama,"Mobile County, Alabama"
1099,G0100990,Monroe County,Alabama,"Monroe County, Alabama"
1101,G0101010,Montgomery County,Alabama,"Montgomery County, Alabama"
1103,G0101030,Morgan County,Alabama,"Morgan County, Alabama"
1105,G0101050,Perry County,Alabama,"Perry County, Alabama"
1107,G0101070,Pickens County,Alabama,"Pickens County, Alabama"
1109,G0101090,Pike County,Alabama,"Pike County, Alabama"
1111,G0101110,Randolph County,Alabama,"Randolph County, Alabama"
1113,G0101130,Russell County,Alabama,"Russell County, Alabama"
1115,G0101150,St. Clair County,Alabama,"St. Clair County, Alabama"
1117,G0101170,Shelby County,Alabama,"Shelby County, Alabama"
1119,G0101190,Sumter County,Alabama,"Sumter County, Alabama"
1121,G0101210,Talladega County,Alabama,"Talladega County, Alabama"
1123,G0101230,Tallapoosa County,Alabama,"Tallapoosa County, Alabama"
1125,G0101250,Tuscaloosa County,Alabama,"Tuscaloosa County, Alabama"
1127,G0101270,Walker County,Alabama,"Walker County, Alabama"
1129,G0101290,Washington County,Alabama,"Washington County, Alabama"
1131,G0101310,Wilcox County,Alabama,"Wilcox County, Alabama"
1133,G0101330,Winston County,Alabama,"Winston County, Alabama"
2013,G0200130,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
2016,G0200160,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
2020,G0200200,Anchorage Borough,Alaska,"Anchorage Borough, Alaska"
