state  county
VA	G5100330
WY	G5600250
MO	G2901690
FL	G1200990
NE	G3101470
ID	G1600550
NY	G3600630
CA	G0601110
CA	G0600230
IN	G1801410
MD	G2400290
MA	G2500050
OH	G3900170
ID	G1600510
NC	G3700150
TN	G4700370
IL	G1700310
IN	G1800810
TX	G4800290
CO	G0800310
IA	G1901690
NC	G3701270
IA	G1900590
IA	G1900970
IN	G1800970
TN	G4701870
MN	G2700370
NC	G3701190
CO	G0800140
NJ	G3400250
MS	G2801570
AR	G0501150
NJ	G3400030
FL	G1200710
DE	G1000030
TX	G4801130
SC	G4500910
OH	G3900950
NY	G3600130
FL	G1201170
IN	G1800570
NY	G3600590
LA	G2200510
ID	G1600830
OK	G4001430
WY	G5600210
AZ	G0400130
CA	G0600810
TX	G4802270
MI	G2601250
IL	G1700970
CT	G0900090
NE	G3100530
NJ	G3400130
MI	G2601630
IA	G1900410
MT	G3000490
AZ	G0400190
GA	G1303050
TX	G4801330
NC	G3701830
CA	G0600710
NM	G3500490
MA	G2500010
VA	G5105500
SC	G4500730
PA	G4200450
MD	G2400250
NV	G3200030
MD	G2400230
VA	G5100010
GA	G1301570
TN	G4701570
MI	G2601290
TX	G4804790
SD	G4600250
NC	G3701410
KY	G2100650
PA	G4201190
CA	G0600350
UT	G4900370
PA	G4200170
MI	G2601210
CT	G0900010
NY	G3600710
WI	G5500090
ME	G2300110
NY	G3600730
GA	G1301790
KY	G2100670
ID	G1600870
TX	G4802810
CA	G0600730
TN	G4700930
GA	G1301210
RI	G4400030
NY	G3600150
PA	G4200270
TX	G4802010
FL	G1200860
AL	G0100890
TX	G4801810
FL	G1200170
GA	G1300670
TX	G4804670
NC	G3700270
IL	G1700430
WA	G5300490
NH	G3300030
MN	G2701390
DC	G1100010
CA	G0600670
GA	G1301270
TX	G4804530
FL	G1200230
FL	G1200570
NC	G3701330
MN	G2700390
NY	G3600470
WA	G5300330
MN	G2700190
TN	G4700090
IL	G1701670
NC	G3700510
KS	G2000850
FL	G1201050
TX	G4804910
AL	G0100390
IL	G1701610
CO	G0800770
AR	G0500930
MN	G2700530
IA	G1901530
MO	G2900470
GA	G1300850
ME	G2300010
MI	G2600750
KY	G2101630
ND	G3800770
NJ	G3400310
UT	G4900430
CA	G0600590
OH	G3900350
TX	G4802310
VA	G5105900
GA	G1302970
CT	G0900070
AL	G0100150
WI	G5501410
WV	G5400010
MA	G2500090
TX	G4800410
AZ	G0400270
NY	G3600670
TX	G4800370
FL	G1200210
TX	G4801410
GA	G1301170
VA	G5101430
IN	G1801830
CA	G0600370
CA	G0600130
OK	G4001250
TX	G4800850
TN	G4700110
TX	G4804510
WV	G5400250
NY	G3601210
AL	G0100850
VA	G5100150
MO	G2901890
NH	G3300050
VA	G5100130
GA	G1300470
MD	G2400210
TX	G4803790
OH	G3901530
OH	G3901510
NY	G3600270
MO	G2900210
TX	G4800770
CA	G0600750
