in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G0100010	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100030	0	0	0	3.8	17.4175	31.1	99.6775	260.04	1424.9875
G0100050	0	11.6825	27.865	95.7175	272.2225	425.4675	488.705	540.625	1552.795
G0100070	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100090	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0100110	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100130	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100150	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100170	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100190	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100210	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100230	0	0	0	30.97	108.4275	190.19	438.3575	474.9325	1601.2275
G0100250	0	0	0	30.97	108.4275	190.19	438.3575	474.9325	1601.2275
G0100270	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100290	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100310	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100330	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100350	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100370	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100390	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100410	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100430	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100450	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100470	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100490	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100510	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100530	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100550	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100570	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100590	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100610	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100630	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100650	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100670	0	0	2.125	19.7875	34.85	65.0775	229.4125	503.9475	1437.745
G0100690	0	0	2.125	19.7875	34.85	65.0775	229.4125	503.9475	1437.745
G0100710	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100730	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0100750	0	23.65	70.7025	138.5975	241.87	394.38	582.3225	625.38	1552.085
G0100770	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100790	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100810	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100830	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100850	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100870	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100890	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100910	0	0	0	7.6	69.415	154.1925	314.2225	460.915	1542.445
G0100930	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100950	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100970	0	0	0	3.755	53.4625	109.4975	221.8375	320.4	1219.0525
G0100990	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0101010	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0101030	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0101050	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101070	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101090	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0101110	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0101130	0	11.6825	27.865	95.7175	272.2225	425.4675	488.705	540.625	1552.795
G0101150	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101170	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101190	0	0	0	7.6	69.415	154.1925	314.2225	460.915	1542.445
G0101210	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0101230	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0101250	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101270	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101290	0	0	0	3.755	53.4625	109.4975	221.8375	320.4	1219.0525
G0101310	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0101330	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0200130	0	0	62.0375	570.33	674.255	870.045	1997.9425	2619.2525	2723.45
G0200160	20.285	14.385	36.6275	219.9775	490.95	918.945	1443.99	2391.76	3427.535
G0200200	206.9725	226.5025	520.8625	780.495	1042.19	1163.2075	1698.1075	1446.4125	1936.275
G0200500	2720.075	1175.1425	1196.3925	1158.17	720.3675	698.4475	1295.2675	1103.555	1992.2375
G0200600	1781.3275	641.6375	648.195	1012.39	727.0175	706.2075	1133.7075	1748.395	2328.37
G0200680	2546.8725	753.1575	715.5375	771.4825	704.395	815.0275	1149.05	1125.24	2247.465
G0200700	736.565	445.215	701.21	840.5875	975.825	1024.6925	1820.85	2000	1941.4925
G0200900	6250.555	1061.515	1136.585	949.62	627.9475	551.505	572.1375	554.56	1440.87
G0201000	323.065	377.565	399.6275	455.9225	654.8175	627.69	1297.705	1538.395	2712.0575
G0201050	56.2525	114.3075	333.92	817.2325	819.3025	948.9125	1753.5275	1561.69	2375.275
G0201100	194.4625	173.25	320.63	589.775	839.865	908.1	1202.2375	1504.5475	2750.7625
G0201220	880.0725	332.025	501	776.88	1012.2125	1229.5125	1751.635	1509.435	1999.3
G0201300	130.28	198.785	305.74	482.305	648.81	622.6225	1161.9425	1487.025	2926.48
G0201500	0	23.8675	107.08	331.515	441.6	683.97	1491.4625	2446.2325	2972.1525
G0201640	1781.3275	641.6375	648.195	1012.39	727.0175	706.2075	1133.7075	1748.395	2328.37
G0201700	460.775	311.605	560.92	792.5575	1186.315	1289.135	1354.225	1345.295	2192.455
G0201800	3219.085	1178.1175	1364.1725	1823.775	1047.3175	721.9975	1128.1575	961.13	1808.9725
G0201850	12039.3	1186.4325	859.8575	1186.47	921.3125	580.69	1467.1975	1135.9725	431.4225
G0201880	6543.16	1100.2025	1269.485	1433.85	929.2575	1051.8325	815.4125	672.6375	1405.45
G0201950	131.6575	245.0425	289.3025	386.4425	664.35	824.695	1139.4375	1742.7275	3027.2275
G0201980	0	40.025	218.1025	366.1075	383.6	613.955	856.85	1154.8025	3785.24
G0202200	0	0	176.47	597.09	654.9075	457.7	997.025	1590.24	3514.2175
G0202300	323.065	377.565	399.6275	455.9225	654.8175	627.69	1297.705	1538.395	2712.0575
G0202400	4950.7625	1329.4825	961.385	1052.815	887.1825	669.61	697.8025	548.6175	1563.97
G0202610	71.925	43.5	88.3	299.555	678.6325	1219.0275	2976.82	1481.5925	2299.6575
G0202700	1810.755	616.805	664.2475	1184.1325	1182.5225	1304.38	1655.775	1298.0925	1987.8475
G0202750	28.085	189.295	158.92	440.615	566.935	771.8475	967.51	1702.16	3216.5775
G0202820	107.9225	251.8925	271.2825	524.84	796.0675	811.1725	1818.73	1738.555	2677.6625
G0202900	5020.2	986.925	1046.49	1013.605	942.2525	976.7375	1247.5125	770.855	1470.595
G0400010	97.1025	152.01	326.9625	693.02	816.755	738.8525	936.67	949.3875	1794.0725
G0400030	0	0	0	1.8775	107.4575	174.31	411.6175	534.5925	1555.2625
G0400050	125.1625	112.5725	270.0375	662.4	882.2475	980.1675	1258.2975	1150.5625	1951.045
G0400070	0	4.67	28.9225	91.8875	254.25	368.655	788.3225	981.03	2036.1225
G0400090	0	0	0	0	34.5125	88.53	255.975	443.9975	1455.485
G0400110	0	0	0	0	34.5125	88.53	255.975	443.9975	1455.485
G0400120	0	0	0	0	0	0	1.2925	60.4425	1071.53
G0400130	0	0	0	0	0	0	0	77.99	1175.7775
G0400150	0	0	0	5.715	85.76	212.175	463.51	690.925	1836.345
G0400170	0	16.54	64.7325	290.1425	505.48	564.4925	806.955	942.205	1741.6375
G0400190	0	0	0	0	0	18.495	133.455	295.29	1505.04
G0400210	0	0	0	0	1.75	31.01	100.16	214.63	1487.0625
G0400230	0	0	0	1.8775	107.4575	174.31	411.6175	534.5925	1555.2625
G0400250	0	4.67	28.9225	91.8875	254.25	368.655	788.3225	981.03	2036.1225
G0400270	0	0	0	0	0	0	0	5.4725	829.7875
G0500010	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0500030	0	0	0	3.755	124.0425	228.055	256.02	418.66	1511.9875
G0500050	0	0	88.3525	177.5425	260.43	368.73	515.73	807.11	1681.5775
G0500070	0	35.85	48.175	231.105	275.87	407.5925	826.4475	915.5975	1799.85
