name,neighborhood,city,year,stars
Annisa,Manhattan,New York,2006,1
Aureole,Manhattan,New York,2006,1
Babbo,Manhattan,New York,2006,1
BLT Fish,Manhattan,New York,2006,1
Café Boulud,Manhattan,New York,2006,1
Café Gray,Manhattan,New York,2006,1
Craft,Manhattan,New York,2006,1
Cru,Manhattan,New York,2006,1
Etats-Unis,Manhattan,New York,2006,1
Fiamma Osteria,Manhattan,New York,2006,1
Fleur de Sel,Manhattan,New York,2006,1
Gotham Bar and Grill,Manhattan,New York,2006,1
La Goulue,Manhattan,New York,2006,1
Gramercy Tavern,Manhattan,New York,2006,1
Jewel Bako,Manhattan,New York,2006,1
JoJo,Manhattan,New York,2006,1
Lever House,Manhattan,New York,2006,1
Lo Scalco,Manhattan,New York,2006,1
March,Manhattan,New York,2006,1
The Modern,Manhattan,New York,2006,1
Nobu,Manhattan,New York,2006,1
Oceana,Manhattan,New York,2006,1
Peter Luger Steak House,Brooklyn,New York,2006,1
Picholine,Manhattan,New York,2006,1
Saul,Brooklyn,New York,2006,1
Scalini Fedeli,Manhattan,New York,2006,1
The Spotted Pig,Manhattan,New York,2006,1
Veritas,Manhattan,New York,2006,1
Vong,Manhattan,New York,2006,1
Wallsé,Manhattan,New York,2006,1
wd~50,Manhattan,New York,2006,1
A Voce Columbus,Manhattan,New York,2007,1
Annisa,Manhattan,New York,2007,1
Aureole,Manhattan,New York,2007,1
Babbo,Manhattan,New York,2007,1
Café Boulud,Manhattan,New York,2007,1
Café Gray,Manhattan,New York,2007,1
Country,Manhattan,New York,2007,1
Craft,Manhattan,New York,2007,1
Cru,Manhattan,New York,2007,1
Danube,Manhattan,New York,2007,1
Devi,Manhattan,New York,2007,1
Etats-Unis,Manhattan,New York,2007,1
Fiamma Osteria,Manhattan,New York,2007,1
Fleur de Sel,Manhattan,New York,2007,1
Gotham Bar and Grill,Manhattan,New York,2007,1
La Goulue,Manhattan,New York,2007,1
Gramercy Tavern,Manhattan,New York,2007,1
Jewel Bako,Manhattan,New York,2007,1
Kurumazushi,Manhattan,New York,2007,1
Lever House,Manhattan,New York,2007,1
The Modern,Manhattan,New York,2007,1
Oceana,Manhattan,New York,2007,1
Perry Street,Manhattan,New York,2007,1
Peter Luger Steak House,Brooklyn,New York,2007,1
Picholine,Manhattan,New York,2007,1
Saul,Brooklyn,New York,2007,1
The Spotted Pig,Manhattan,New York,2007,1
Sushi of Gari,Manhattan,New York,2007,1
Veritas,Manhattan,New York,2007,1
Vong,Manhattan,New York,2007,1
Wallsé,Manhattan,New York,2007,1
wd~50,Manhattan,New York,2007,1
Acquerello,Nob Hill,San Francisco,2007,1
Auberge du Soleil,Rutherford,San Francisco,2007,1
Bistro Jeanty,Yountville,San Francisco,2007,1
Bouchon,Yountville,San Francisco,2007,1
Boulevard,SoMa,San Francisco,2007,1
Bushi-Tei,Japantown,San Francisco,2007,1
Chez Panisse,Berkeley,San Francisco,2007,1
Chez TJ,Mountain View,San Francisco,2007,1
Dry Creek Kitchen,Healdsburg,San Francisco,2007,1
Farmhouse Inn & Restaurant,Forestville,San Francisco,2007,1
Fifth Floor,SoMa,San Francisco,2007,1
Fleur de Lys,Financial District,San Francisco,2007,1
Gary Danko,North Beach,San Francisco,2007,1
K&L Bistro,Sebastopol,San Francisco,2007,1
La Folie,Russian Hill,San Francisco,2007,1
Masa's,Nob Hill,San Francisco,2007,1
Quince,Jackson Square,San Francisco,2007,1
Range,Mission,San Francisco,2007,1
Rubicon,Financial District,San Francisco,2007,1
Sushi Ran,Sausalito,San Francisco,2007,1
The Dining Room at the Ritz-Carlton,Nob Hill,San Francisco,2007,1
A Voce Columbus,Manhattan,New York,2008,1
Annisa,Manhattan,New York,2008,1
Anthos,Manhattan,New York,2008,1
L'Atelier de Joël Robuchon,Manhattan,New York,2008,1
Aureole,Manhattan,New York,2008,1
Babbo,Manhattan,New York,2008,1
Blue Hill,Manhattan,New York,2008,1
Café Boulud,Manhattan,New York,2008,1
Café Gray,Manhattan,New York,2008,1
Country,Manhattan,New York,2008,1
Cru,Manhattan,New York,2008,1
Danube,Manhattan,New York,2008,1
Devi,Manhattan,New York,2008,1
Dressler,Brooklyn,New York,2008,1
Etats-Unis,Manhattan,New York,2008,1
Fleur de Sel,Manhattan,New York,2008,1
Gilt,Manhattan,New York,2008,1
Gotham Bar and Grill,Manhattan,New York,2008,1
Gramercy Tavern,Manhattan,New York,2008,1
Jewel Bako,Manhattan,New York,2008,1
JoJo,Manhattan,New York,2008,1
Kurumazushi,Manhattan,New York,2008,1
The Modern,Manhattan,New York,2008,1
