DOEID	state	hdd_30yr	cdd_30yr
100001	NM	4451	1027
100004	SC	3229	1653
100006	TX	1150	3588
100007	OK	3564	2043
100011	CA	1944	1747
100012	TX	2473	2292
100013	LA	1710	2411
100014	MN	11113	104
100015	VT	7797	254
100017	RI	5706	607
100018	NM	4447	1028
100020	LA	1811	2477
100023	ME	7342	310
100024	SD	6621	972
100025	IL	5750	1064
100026	MA	6074	506
100027	MN	8086	586
100028	MA	7009	378
100029	FL	604	3339
100030	OH	6414	580
100031	RI	5702	722
100032	NE	6568	932
100033	AZ	1352	3687
100034	MN	7627	726
100035	VT	7240	531
100036	OK	3550	1989
100038	VA	4096	1525
100040	PA	6162	600
100041	TX	2483	2417
100042	HI	0	4473
100044	NH	6975	388
100045	MI	6838	595
100046	CA	1073	864
100050	AZ	1514	3216
100051	MI	6736	549
100052	VA	4805	940
100055	CO	6033	637
100056	NC	4646	663
100058	IL	5571	1098
100060	CO	9251	41
100063	CA	2626	1173
100066	TX	1463	3197
100067	RI	6195	425
100068	VT	7272	305
100073	OR	4723	267
100074	FL	234	3933
100075	MO	4456	1675
100080	TX	2518	2213
100083	TN	3972	1333
100084	WI	6972	597
100085	OH	5565	838
100086	CA	2309	1691
100088	IL	6811	733
100089	MA	6615	548
100090	TN	3803	1397
100092	ID	5391	852
100093	ME	7800	330
100094	OK	3571	1860
100095	NC	3037	1719
100096	WI	8014	366
100097	FL	321	3780
100098	OK	3636	1968
100099	NV	2306	3159
100101	WA	4952	756
100102	TN	4066	1347
100103	NY	7874	340
100104	NC	3412	1685
100105	OH	5806	822
100106	VT	7326	478
100107	NE	6356	984
100108	VA	4449	1215
100112	TX	2241	2578
100113	NC	3394	1469
100114	WA	6509	402
100115	CA	2167	479
100116	MI	7568	442
100118	NM	2795	2077
100119	NJ	5180	931
100120	MD	4437	1155
100121	MA	6201	523
100122	WI	7546	518
100124	CA	1085	1744
100125	NJ	5058	862
100126	CO	5177	939
100127	ME	7626	377
100128	MA	6645	543
100130	TX	2989	2372
100131	WI	6889	752
100132	VA	3370	1633
100133	CA	2528	924
100135	NE	6340	964
100136	IN	4945	1326
100137	UT	5899	935
100138	GA	3226	1251
100139	MD	4907	1021
100140	FL	681	3256
100141	ID	7333	127
100144	TN	3967	1450
100146	IN	6873	586
100147	CA	2161	1708
100150	CA	1429	1778
100151	ND	8586	515
100152	OH	5780	855
100154	TX	2151	2829
100155	NE	6272	960
100156	MA	6758	514
100158	AZ	1436	3507
100159	GA	1533	2481
100160	ND	9448	379
100162	HI	0	3919
100164	VT	7259	527
100166	AR	4374	1324
100167	IN	5799	846
100172	VA	3773	1548
100173	WA	4866	181
100175	LA	1265	3036
100176	OH	5540	962
100177	TN	4541	996
100178	WI	8169	540
100179	ID	8917	103
100181	WA	5216	16
100182	LA	1692	2625
100184	MA	7339	343
100185	IL	6571	820
100186	IN	5804	883
100187	TN	3337	1969
100188	NY	6480	645
100189	ID	5427	965
100191	OH	6107	854
100195	ND	8442	459
100200	TN	4862	956
100201	CO	6297	454
100202	IA	5891	1125
100203	WV	4556	1071
100206	KY	3939	1504
100207	CO	5483	854
100210	MT	8464	40
100211	HI	0	4702
100212	OH	5501	972
100213	NM	4391	1048
100214	WY	8514	88
100215	NH	6732	567
100217	IL	5974	782
100218	IN	6280	685
100219	CA	1558	823
100220	IN	4372	1565
100222	MA	6247	632
100223	CA	1535	1711
100224	WY	8032	403
100225	TX	2566	2413
100226	MA	6265	628
100227	PA	6023	695
100228	MS	3208	1930
100229	TX	1580	2745
100230	NY	6765	455
100231	AL	2767	1877
100232	KY	4882	1178
100233	OH	6260	624
100234	MI	6816	622
100235	CA	3328	0
100237	NY	5080	833
100238	WA	4357	192
100240	AR	3003	2173
100241	SD	6919	651
100243	MA	6646	485
100244	FL	503	3566
100245	NJ	5031	1057
100246	CO	5400	978
100247	NC	2938	1886
100250	TX	2139	2738
100251	NY	6545	571
100253	CT	5326	831
100258	IA	6495	790
100259	OR	4676	270
100260	GA	1629	2644
100261	TN	4315	1033
100263	CA	2647	1161
100264	MI	5813	777
100265	PA	5767	605
100266	DE	4109	1370
100267	MO	4708	1308
100270	ID	7970	259
100271	NY	4698	1243
100272	IA	7081	716
100274	VA	4009	1558
100276	CA	2654	1509
100281	IN	5858	832
100282	KY	4613	1190
100283	PA	6450	485
100284	NY	5169	861
100286	MI	6964	593
100287	WA	6360	391
100288	CA	1190	1153
100289	LA	1548	2838
100290	AZ	4400	859
100291	MS	2259	2203
100292	WA	4584	241
100294	TX	2141	2936
100295	WA	4550	212
100301	CA	2271	301
100302	ME	7964	303
100304	TX	1395	3061
100305	AK	10055	37
100306	IL	6603	684
100310	WI	7649	481
100311	NC	5710	363
100314	NV	2036	3309
100315	NC	2758	1864
100316	NM	2854	1972
100317	CA	1225	1118
100318	FL	561	3459
100319	IA	7995	571
100320	IL	6435	880
100321	VT	7491	474
100322	NC	2905	1670
100324	NY	6895	483
100325	TX	947	3514
100327	TX	2558	2177
100329	WA	4713	133
100330	IN	5170	954
100332	FL	251	4077
100333	KS	4582	1690
100334	NY	6910	442
100338	KY	4899	1150
100339	AZ	3125	1036
100341	IA	6646	755
100342	CO	5578	1132
100343	WV	5335	871
100346	WA	4307	215
100348	CA	1541	846
100350	NH	6560	606
100353	OH	5890	783
100354	NJ	6020	670
100356	MS	2021	2336
100357	FL	158	4304
100363	CA	2716	166
100364	CO	9295	34
100365	UT	4923	1398
100366	NE	6852	805
100367	WI	7648	612
100368	WY	8853	55
100370	AL	2414	2042
100371	CA	1426	546
100373	OH	6447	599
100374	CA	1406	2008
100375	CO	6595	442
100376	AZ	1302	3831
100378	NM	5966	389
100380	NH	6765	560
100381	NE	6059	1133
100383	IL	6183	996
100385	IL	6335	810
100386	AZ	1713	2896
100387	CT	5731	832
100389	WA	6116	554
100390	NC	3517	1462
100391	MD	4285	1397
100395	IA	6556	930
100397	MO	5648	1084
100399	NH	6529	486
100400	OH	5430	939
100401	CA	825	1764
100402	WA	5084	61
100404	OK	3370	1892
100406	SD	7487	764
100407	NC	3284	1563
100408	NH	6809	425
100412	CA	1411	669
100413	MO	5201	1052
100415	WA	5451	93
100424	TX	1460	2862
100425	AL	2807	1713
100428	LA	1775	2324
100429	CA	1156	781
100430	MN	8464	431
100432	MI	6917	570
100433	MN	7849	700
100434	NY	6741	512
100435	NJ	5457	800
100436	OR	4437	359
100437	MN	7684	671
100438	WY	7938	438
100439	PA	5812	792
100440	CT	5915	657
100443	ID	8670	2
100444	NY	4818	982
100445	NH	7120	489
100446	WY	8001	423
100450	MT	7563	367
100451	MN	8846	431
100452	IN	6501	737
100456	CT	6078	610
100457	VA	4636	952
100461	TX	1160	3566
100462	UT	4917	1400
100463	KY	4482	1084
100464	TX	1353	3060
100465	SC	3054	1693
100466	CA	1570	811
100467	NE	6443	940
100468	KY	4121	1321
100469	TN	2971	2253
100470	AR	3075	2120
100473	DE	4606	1010
100475	TN	3275	1725
100476	SC	2656	2094
100477	OR	4337	383
100480	TX	2998	2243
100481	ID	5539	813
100482	IN	4710	1139
100483	MI	6124	766
100487	ME	7706	200
100488	TX	704	4073
100490	MA	6628	489
100491	FL	797	2987
100492	UT	7388	405
100493	NH	6727	469
100496	WV	5259	885
