in.county,hdd,cdd,switchover_lt15,switchover_lt20,switchover_lt25,switchover_lt30,switchover_lt35,switchover_lt40
G0100010,2825.635,2456.3125,27.61,86.935,209.1875,412.105,788.865,1340.07
G0100030,1837.0225,2503.51,0,3.8,21.2175,52.3175,151.995,412.035
G0100050,3415.08,1952.535,39.5475,135.265,407.4875,832.955,1321.66,1862.285
G0100070,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0100090,2922.3125,2028.0725,21.97,70.52,212.1375,431.625,796.04,1312.8225
G0100110,2441.1675,2281.485,8.4925,20.4625,73.985,181.44,483.46,944.4525
G0100130,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0100150,2867.36,1782.125,0,0,120.12,324.975,712.41,1215.3025
G0100170,2875.565,1503.08,69.7075,145.78,271.75,460.9375,821.3025,1307.115
G0100190,3399.9075,1604.79,0,75.5175,336.865,689.6025,1087.9525,1657.2575
G0100210,2825.635,2456.3125,27.61,86.935,209.1875,412.105,788.865,1340.07
G0100230,2844.105,2251.0275,0,30.97,139.3975,329.5875,767.945,1242.8775
G0100250,2844.105,2251.0275,0,30.97,139.3975,329.5875,767.945,1242.8775
G0100270,2867.36,1782.125,0,0,120.12,324.975,712.41,1215.3025
G0100290,2867.36,1782.125,0,0,120.12,324.975,712.41,1215.3025
G0100310,2636.7,2149.89,12.7275,61.675,201.4825,488.95,848.3225,1289.5125
G0100330,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0100350,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0100370,2825.635,2456.3125,27.61,86.935,209.1875,412.105,788.865,1340.07
G0100390,2636.7,2149.89,12.7275,61.675,201.4825,488.95,848.3225,1289.5125
G0100410,2441.1675,2281.485,8.4925,20.4625,73.985,181.44,483.46,944.4525
G0100430,3620.46,1784.7225,163.39,309.9275,634.4525,881.0575,1409.935,1975.095
G0100450,2636.7,2149.89,12.7275,61.675,201.4825,488.95,848.3225,1289.5125
G0100470,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0100490,3399.9075,1604.79,0,75.5175,336.865,689.6025,1087.9525,1657.2575
G0100510,2825.635,2456.3125,27.61,86.935,209.1875,412.105,788.865,1340.07
G0100530,2441.1675,2281.485,8.4925,20.4625,73.985,181.44,483.46,944.4525
G0100550,3399.9075,1604.79,0,75.5175,336.865,689.6025,1087.9525,1657.2575
G0100570,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0100590,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0100610,2636.7,2149.89,12.7275,61.675,201.4825,488.95,848.3225,1289.5125
G0100630,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0100650,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0100670,2292.945,2510.1525,2.125,21.9125,56.7625,121.84,351.2525,855.2
G0100690,2292.945,2510.1525,2.125,21.9125,56.7625,121.84,351.2525,855.2
G0100710,3399.9075,1604.79,0,75.5175,336.865,689.6025,1087.9525,1657.2575
G0100730,2922.3125,2028.0725,21.97,70.52,212.1375,431.625,796.04,1312.8225
G0100750,3628.9875,2180.5125,94.3525,232.95,474.82,869.2,1451.5225,2076.9025
G0100770,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0100790,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0100810,2875.565,1503.08,69.7075,145.78,271.75,460.9375,821.3025,1307.115
G0100830,3620.46,1784.7225,163.39,309.9275,634.4525,881.0575,1409.935,1975.095
G0100850,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0100870,2875.565,1503.08,69.7075,145.78,271.75,460.9375,821.3025,1307.115
G0100890,3620.46,1784.7225,163.39,309.9275,634.4525,881.0575,1409.935,1975.095
G0100910,2548.79,2214.875,0,7.6,77.015,231.2075,545.43,1006.345
G0100930,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0100950,3399.9075,1604.79,0,75.5175,336.865,689.6025,1087.9525,1657.2575
G0100970,1928.005,2527.9975,0,3.755,57.2175,166.715,388.5525,708.9525
G0100990,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0101010,2825.635,2456.3125,27.61,86.935,209.1875,412.105,788.865,1340.07
G0101030,3620.46,1784.7225,163.39,309.9275,634.4525,881.0575,1409.935,1975.095
G0101050,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0101070,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0101090,2441.1675,2281.485,8.4925,20.4625,73.985,181.44,483.46,944.4525
G0101110,2867.36,1782.125,0,0,120.12,324.975,712.41,1215.3025
G0101130,3415.08,1952.535,39.5475,135.265,407.4875,832.955,1321.66,1862.285
G0101150,2922.3125,2028.0725,21.97,70.52,212.1375,431.625,796.04,1312.8225
G0101170,2922.3125,2028.0725,21.97,70.52,212.1375,431.625,796.04,1312.8225
G0101190,2548.79,2214.875,0,7.6,77.015,231.2075,545.43,1006.345
G0101210,2867.36,1782.125,0,0,120.12,324.975,712.41,1215.3025
G0101230,2875.565,1503.08,69.7075,145.78,271.75,460.9375,821.3025,1307.115
G0101250,2852.5575,2146.8225,0,32.9225,170.7225,422.52,798.4275,1350.9475
G0101270,2922.3125,2028.0725,21.97,70.52,212.1375,431.625,796.04,1312.8225
G0101290,1928.005,2527.9975,0,3.755,57.2175,166.715,388.5525,708.9525
G0101310,2501.9075,2275.0025,0,7.6225,67.6125,216.8925,499.8675,999.43
G0101330,2995.4775,1820.865,111.615,162.5375,284.4075,525.98,843.0725,1320.405
G0200130,9517.3125,0,62.0375,632.3675,1306.6225,2176.6675,4174.61,6793.8625
G0200160,8964.455,2.0075,71.2975,291.275,782.225,1701.17,3145.16,5536.92
G0200200,9021.025,79.6225,954.3375,1734.8325,2777.0225,3940.23,5638.3375,7084.75
G0200500,12059.655,20.3175,5091.61,6249.78,6970.1475,7668.595,8963.8625,10067.4175
G0200600,10727.2475,28.4225,3071.16,4083.55,4810.5675,5516.775,6650.4825,8398.8775
G0200680,10828.2275,61.6325,4015.5675,4787.05,5491.445,6306.4725,7455.5225,8580.7625
G0200700,10486.4375,16.49,1882.99,2723.5775,3699.4025,4724.095,6544.945,8544.945
G0200900,13145.295,157.5,8448.655,9398.275,10026.2225,10577.7275,11149.865,11704.425
G0201000,8386.845,57.6,1100.2575,1556.18,2210.9975,2838.6875,4136.3925,5674.7875
G0201050,8780.42,30.3275,504.48,1321.7125,2141.015,3089.9275,4843.455,6405.145
G0201100,8483.63,39.455,688.3425,1278.1175,2117.9825,3026.0825,4228.32,5732.8675
G0201220,9992.0725,31.36,1713.0975,2489.9775,3502.19,4731.7025,6483.3375,7992.7725
G0201300,7963.99,46.705,634.805,1117.11,1765.92,2388.5425,3550.485,5037.51
G0201500,8497.88,14.6075,130.9475,462.4625,904.0625,1588.0325,3079.495,5525.7275
G0201640,10727.2475,28.4225,3071.16,4083.55,4810.5675,5516.775,6650.4825,8398.8775
G0201700,9493.2825,43.9425,1333.3,2125.8575,3312.1725,4601.3075,5955.5325,7300.8275
G0201800,13252.725,10.5525,5761.375,7585.15,8632.4675,9354.465,10482.6225,11443.7525
G0201850,19808.655,0,14085.59,15272.06,16193.3725,16774.0625,18241.26,19377.2325
G0201880,15221.2875,2.205,8912.8475,10346.6975,11275.955,12327.7875,13143.2,13815.8375
G0201950,8450.8825,24.9625,666.0025,1052.445,1716.795,2541.49,3680.9275,5423.655
G0201980,7418.6825,1184.525,258.1275,624.235,1007.835,1621.79,2478.64,3633.4425
G0202200,7987.65,4.035,176.47,773.56,1428.4675,1886.1675,2883.1925,4473.4325
G0202300,8386.845,57.6,1100.2575,1556.18,2210.9975,2838.6875,4136.3925,5674.7875
G0202400,12661.6275,221.1,7241.63,8294.445,9181.6275,9851.2375,10549.04,11097.6575
G0202610,9159.01,12.295,203.725,503.28,1181.9125,2400.94,5377.76,6859.3525
G0202700,11704.5575,12.365,3091.8075,4275.94,5458.4625,6762.8425,8418.6175,9716.71
G0202750,8041.945,38.56,376.3,816.915,1383.85,2155.6975,3123.2075,4825.3675
G0202820,8998.125,7.0275,631.0975,1155.9375,1952.005,2763.1775,4581.9075,6320.4625
G0202900,13475.1725,61.8725,7053.615,8067.22,9009.4725,9986.21,11233.7225,12004.5775
G0400010,6504.8325,897.0975,576.075,1269.095,2085.85,2824.7025,3761.3725,4710.76
G0400030,2785.1175,2318.6025,0,1.8775,109.335,283.645,695.2625,1229.855
G0400050,7392.4925,532.1075,507.7725,1170.1725,2052.42,3032.5875,4290.885,5441.4475
G0400070,4553.86,1374.9175,33.5925,125.48,379.73,748.385,1536.7075,2517.7375
G0400090,2278.5,3217.92,0,0,34.5125,123.0425,379.0175,823.015
G0400110,2278.5,3217.92,0,0,34.5125,123.0425,379.0175,823.015
G0400120,1133.265,5030.6475,0,0,0,0,1.2925,61.735
G0400130,1253.7675,4847.145,0,0,0,0,0,77.99
G0400150,3294.43,2826.37,0,5.715,91.475,303.65,767.16,1458.085
G0400170,4932.185,1659.4325,81.2725,371.415,876.895,1441.3875,2248.3425,3190.5475
G0400190,1952.28,3319.365,0,0,0,18.495,151.95,447.24
G0400210,1834.6125,4214.8875,0,0,1.75,32.76,132.92,347.55
G0400230,2785.1175,2318.6025,0,1.8775,109.335,283.645,695.2625,1229.855
G0400250,4553.86,1374.9175,33.5925,125.48,379.73,748.385,1536.7075,2517.7375
G0400270,835.26,4734.72,0,0,0,0,0,5.4725
G0500010,3005.7975,2199.39,0,15.2375,107.185,253.3475,682.43,1385.915
G0500030,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G0500050,3899.4725,1729.9325,88.3525,265.895,526.325,895.055,1410.785,2217.895
G0500070,4540.4875,1623.3325,84.025,315.13,591,998.5925,1825.04,2740.6375
